NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
71;Sukmajaya;5;MT. Al Muhajirot;MT. 622633050071;;Jl. Danau Tondano IV, RT. 04/03;;;;
;;;;;;Kel. Abadijaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
72;Sukmajaya;5;MT. An Nur;MT. 622633050072;;Jl. Mulia II, No. I, Kp. Sugutamu;;;;
;;;;;;RT. 009/022. Kel. Baktijaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
73;Sukmajaya;5;MT. Yasin Fadilah;MT. 622633050073;;Jl. Kemuliaan Raya, No. 30, RT. 06;;;;
;;;(SJH);;;RW. 01, Kel. Mekarjaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
74;Sukmajaya;5;MT. Nurul Rohmah;MT. 622633050074;;Perumahan Griya Lembah Depok;;;;
;;;;;;RW. 025, Abadijaya, Sukmajaya;;;;
;;;;;;Kota Depok, 16417;;;;
;;;;;;;;;;
75;Sukmajaya;5;MT. Nurul Iman;MT. 622633050075;;Perumahan Griya Lembah Depok;;;;
;;;;;;RW. 025, Abadijaya, Sukmajaya;;;;
;;;;;;Kota Depok, 16417;;;;
;;;;;;;;;;
76;Sukmajaya;5;MT. Al - Falah;MT. 622633050076;;Kp. Cikumpa, RT. 003 RW. 006;;;;
;;;;;;Kel. Sukmajaya, Kec. Sukmajaya;;;;
;;;;;;Kota Depok;;;;
