NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
61;Cilodong;8;MT. Bunda Sakinah;MT. 622633080061;;Perumahan Cimanggis Indah;;;;
;;;;;;Blok J, No. 52, Jl. Intan, RT. 03/11;;;;
;;;;;;Kel. Sukamaju, Cilodong;;;;
;;;;;;;;;;
62;Cilodong;8;MT. Thoriqul Khoeir;MT. 622633080062;;Kp. Sidamukti, RT. 05/04;;;;
;;;;;;Kel. Sukamaju;;;;
;;;;;;;;;;
63;Cilodong;8;MT. Kaum Ibu Masjid;MT. 622633080063;;Jl. Raya Jakarta BoGOR, KM. 37;;;;
;;;Al Ittihad;;;RT. 05/04, Kel. Sukamaju;;;;
;;;;;;;;;;
64;Cilodong;8;MT/ Rohadatul Hayyah;MT. 622633080064;;Sidamukti, Jl. H. Sairan;;;;
;;;Al Muslimun;;;RT. 05/21, Kel. Sukamaju;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
65;Cilodong;8;MT. Ibnu Salam;MT. 622633080065;;Bokonglio RT. 05/28;;;;
;;;;;;Kel. Sukamaju, Kec. Cilodong;;;;
;;;;;;;;;;
66;Cilodong;8;MT. Baitussholihiin;MT. 622633080066;;Jl. M. Natsir, Gg. Salim Bendungan;;;;
;;;;;;RT. 02/08, Kel. Cilodong;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
67;Cilodong;8;MT. Ullu Baqiyyah;MT. 622633080067;;Saung Suffah GDC, Sektor ;;;;
;;;;;;Melati, Blok E1, No. 1;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
68;Cilodong;8;Majelis Ta'lim Miftahus;MT. 622633080068;;Masjid Al Bidayah Villa Pertiwi;;;;
;;;Sa'adah;;;Jl. Jati V, RT. 01/13;;;;
;;;;;;Kel. Sukamaju, Kec. Cilodong;;;;
;;;;;;;;;;
69;Cilodong;8;Majelis Ta'lim Al Ikhlas;MT. 622633080069;;Jl. Al Hidayah,Kp. Sawah RT. 04;;;;
;;;;;;RW. 02,  Kel. Jatimulya;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
70;Cilodong;8;MT. Baiti Jannati;MT. 622633080070;;Kopwani Village II, Jl. Merpati;;;;
;;;;;;RT. 001/011, Kel. Kalibaru;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
71;Cilodong;8;MT. Baitussyakur Al Kariim;MT. 622633080071;;Jl. H. Dimun Raya, No. 21D;;;;
;;;;;;RT. 03/24, Kel. Sukamaju;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
72;Cilodong;8;MT. Al Muthmainnah;MT. 622633080072;;Jl. Raya, Kp. Sawah, RT. 03/03;;;;
;;;;;;Kel. Jatimulya, Kec. Cilodong;;;;
;;;;;;;;;;
73;Cilodong;8;MT. Arridho;MT. 622633080073;;Jl. H. Abdul Gani  II, Jatimulya;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
74;Cilodong;8;MT. Hijrah Bersama;MT. 622633080074;;Perumahan Nuansa Telaga;;;;
;;;;;;Kalibaru, RT. 07/02, No. 10;;;;
;;;;;;Kel. Kalibaru, Kec. Cilodong;;;;
;;;;;;;;;;
75;Cilodong;8;MT. Riyadhus Sholihin;MT. 622633080075;;Sidamukti, RT. 01/03, Gg. Daim;;;;
;;;;;;Belong 2, Jl. Sumurwangi;;;;
;;;;;;Kel. Sukamaju, Kec. Cilodong;;;;
;;;;;;;;;;
76;Cilodong;8;MT. Tadzkia Syeefa;MT. 622633080076;;Perumahan Taman Anyelir 03;;;;
;;;;;;RT. 001/011, Kel. Kalimulya;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
77;Cilodong;8;MT. Al Hidayah;MT. 622633080077;;MI. Al Hidayah 1 Gedung 2;;;;
;;;;;;Jl. Al Hidayah, No. 89, RT. 02/04;;;;
;;;;;;Kel. Jatimulya, Kec. Cilodong;;;;
;;;;;;;;;;
78;Cilodong;8;MT. Al Hayyu;MT. 622633080078;;Sidamukti, RT. 04/22, Kel.;;;;
;;;;;;Sukamaju, Kec.  Cilodong;;;;
;;;;;;;;;;
79;Cilodong;8;MT. Hidayatul Ummaat;MT. 622633080079;;Jl. Kp. Sawah, RT. 002/003;;;;
;;;;;;Kel. Jatimulya, Kec. Cilodong;;;;
;;;;;;;;;;
80;Cilodong;8;Majelis Ismail Cilodong;MT. 622633080080;;Jl. H. Abdul Gani, RT. 02 RW. 02;;;;
;;;;;;Kel. Kalibaru, Kec. Cilodong;;;;
;;;;;;;;;;
81;Cilodong;8;MT, An-najah;MT. 622633080081;;Jl. Swadaya No. 66 RT. 04/06 ;;;;
;;;;;;Kel. Kalibaru Kec. Cilodong ;;;;
;;;;;;Kota Depok 16473;;;;
;;;;;;;;;;
82;Cilodong;8;MT. Roudhotul Hidayah;MT. 622633080082;;Kalibaru, RT. 06 RW. 05;;;;
;;;;;;Kel. Kalibaru, Kec. Cilodong;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
83;Cilodong;8;MT. Nurul Huda;MT. 622633080083;;Jl. Cepit, Kp. Sawah RT. 002/002;;;;
;;;;;;Kel. Jatimulya, Kec. Cilodong;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
84;Cilodong;8;MT. Al Matasyar;MT. 622633080084;;Jl. Ar Ridho No. 97 RT. 001/003;;;;
;;;;;;Kel. Jatimulya, Kec. Cilodong;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
85;Cilodong;8;MT. Islamadina;MT. 622633080085;;Perumahan Griya Kalibaru;;;;
;;;;;;RW. 10, Jl. H. Abdul Gani II;;;;
;;;;;;Kel. Kalibaru, Kec. Cilodong;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
86;Cilodong;8;Majelis Zikir &I stighosah;MT. 622633080086;;Kebon Duren RT. 002 RW. 005;;;;
;;;PRNU Kalimulya;;;Kel. Kalimulya, Kec. Cilodong;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
