NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
88;Tapos;10;MT. Miftahul Huda;MT. 622633100088;;Kp. Banjaran Pucung, RT. 003;;;;
;;;;;;RW. 007, Kel. Cilangkap;;;;
;;;;;;Kec. Tapos, Depok 16458;;;;
;;;;;;;;;;
89;Tapos;10;MT. Al Muhajirin;MT. 622633100089;;Kp. Cilangkap, RT. 005 RW. 002;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;Depok, 16458;;;;
;;;;;;;;;;
90;Tapos;10;MT. Nurul Ikhwan;MT. 622633100090;;Masjid Nurul Ikhwan Jl. Pesona Raya,;;;;
;;;;;; RT. 02 RW. 20 Kel. Cilangkap, ;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
91;Tapos;10;MT. Al Falah;MT. 622633100091;;Kp. Cilangkap RT. 003 RW. 003;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos, Depok;;;;
;;;;;;Jawa Barat 16458;;;;
;;;;;;;;;;
92;Tapos;10;MT. Az Zakiyah;MT. 622633100092;;Jl. Al Ikhlas No. 19, RT. 005 RW. 009;;;;
;;;;;;Kel. Jatijajar, Kec. Tapos, Depok;;;;
;;;;;;Jawa Barat 16458;;;;
;;;;;;;;;;
93;Tapos;10;MT. Ribaathul Ilmi;MT. 622633100093;;Kp. Banjaran Pucung, No. 145;;;;
;;;;;;RT. 04 RW. 05, Kel. Cilangkap;;;;
;;;;;;Kec. Tapos, Kota Depok;;;;
;;;;;;;;;;
94;Tapos;10;MT. Nurul Mustofa;MT. 622633100094;;Kp. Cilangkap, No. 53, RT. 004;;;;
;;;;;;RW. 009, Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
95;Tapos;10;MT. Al Ikhlas;MT. 622633100095;;Kp. Banjaran Pucung, RT. 03 RW. 10;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos, Depok;;;;
;;;;;;Jawa Barat 16458;;;;
;;;;;;;;;;
96;Tapos;10;MT. Mardhotillah;MT. 622633100096;;Masjid Nurul Ikhwan, Perumahan;;;;
;;;;;;Pesona Laguna 1, RW. 20, Kec.;;;;
;;;;;;Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
